City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Mayo,US,38.89,-76.51,75.99,83,90,9.17,overcast clouds
227,Aras,ES,42.56,-2.36,62.6,72,38,6.93,scattered clouds
228,Alice Springs,AU,-23.7,133.88,66.2,29,0,3.36,clear sky
229,Gold Coast,AU,-28.0,153.43,68.0,45,0,3.36,clear sky
230,Katsuura,JP,35.13,140.3,89.6,75,40,13.87,scattered clouds
231,Bahir Dar,ET,11.59,37.39,60.26,92,68,5.12,light rain
232,Koumac,NC,-20.57,164.28,71.64,82,100,0.85,light rain
233,Udachnyy,RU,66.42,112.4,48.2,70,0,4.5,clear sky
234,Campechuela,CU,20.23,-77.28,82.08,77,59,1.61,broken clouds
235,Beaverlodge,CA,55.22,-119.44,62.6,82,75,5.82,broken clouds
236,Qaqortoq,GL,60.72,-46.03,48.2,61,65,10.29,broken clouds
237,Saint-Philippe,RE,-21.36,55.77,66.2,59,95,5.82,overcast clouds
238,Union City,US,37.6,-122.02,97.0,26,1,13.87,clear sky
239,Mahajanga,MG,-15.72,46.32,67.95,57,6,12.12,clear sky
240,Kimberley,ZA,-28.73,24.76,44.6,70,0,8.05,clear sky
241,Aksarka,RU,66.56,67.8,43.45,75,53,5.73,broken clouds
242,Cabo San Lucas,MX,22.89,-109.91,93.2,52,5,20.8,clear sky
243,Aitape,PG,-3.14,142.35,83.98,72,2,1.86,light rain
244,Thompson,CA,55.74,-97.86,60.8,72,75,17.22,light intensity shower rain
245,Castro,BR,-24.79,-50.01,57.47,95,100,4.12,moderate rain
246,Simao,CN,22.79,100.97,67.42,96,100,2.17,light rain
247,Mahebourg,MU,-20.41,57.7,69.8,77,20,11.41,few clouds
248,Longyearbyen,SJ,78.22,15.64,42.8,87,75,2.24,light intensity drizzle
249,Nova Venecia,BR,-18.71,-40.4,71.19,88,0,5.12,clear sky
250,Tandil,AR,-37.32,-59.13,43.0,50,0,5.01,clear sky
251,Batagay,RU,67.63,134.63,41.61,66,98,7.31,overcast clouds
252,Qena,EG,26.16,32.72,84.2,42,0,3.36,clear sky
253,Dongsheng,CN,39.82,109.98,68.11,68,43,7.05,scattered clouds
254,Bubaque,GW,11.28,-15.83,77.11,92,100,14.67,very heavy rain
255,Wagar,SD,16.15,36.2,83.71,61,100,20.51,overcast clouds
256,Veraval,IN,20.9,70.37,81.88,83,100,19.53,light rain
257,Atar,MR,20.52,-13.05,99.23,24,5,5.68,clear sky
258,San Cristobal,VE,7.77,-72.22,67.5,92,100,2.21,light rain
259,Ostrovnoy,RU,68.05,39.51,56.3,87,100,18.43,overcast clouds
260,Moron,AR,-34.65,-58.62,53.6,45,0,8.05,clear sky
261,Ulaanbaatar,MN,47.91,106.88,59.0,87,75,8.95,light rain
262,Thinadhoo,MV,0.53,72.93,83.55,72,97,4.65,overcast clouds
263,Evensk,RU,61.95,159.23,61.12,60,46,12.73,scattered clouds
264,Walvis Bay,NA,-22.96,14.51,50.0,81,0,3.36,clear sky
265,Nouadhibou,MR,20.93,-17.03,73.4,83,0,8.05,clear sky
266,Angoche,MZ,-16.23,39.91,68.72,86,0,2.66,clear sky
267,Easthampton,US,42.27,-72.67,70.0,68,75,6.93,broken clouds
268,Hami,CN,42.8,93.45,75.0,24,0,1.59,clear sky
269,Mosquera,CO,4.71,-74.23,55.4,87,75,6.93,broken clouds
270,Belyy Yar,RU,53.6,91.39,64.4,88,75,7.16,broken clouds
271,Pangnirtung,CA,66.15,-65.71,50.56,55,100,2.68,overcast clouds
272,Along,IN,28.17,94.77,75.74,90,99,0.78,moderate rain
273,Manger,NO,60.64,5.04,60.01,95,0,7.0,clear sky
274,Cachira,CO,7.74,-73.05,58.64,92,100,3.69,light rain
275,Baykit,RU,61.67,96.37,55.02,55,0,5.66,clear sky
276,Ponta Do Sol,PT,32.67,-17.1,71.6,64,20,12.75,few clouds
277,Madinat Sittah Uktubar,EG,29.82,31.05,78.8,83,0,8.05,mist
278,Emerald,AU,-23.53,148.17,70.0,37,0,8.05,clear sky
279,Saint George,US,37.1,-113.58,109.4,6,1,2.62,clear sky
280,Kuytun,RU,54.34,101.5,57.16,57,0,8.7,clear sky
281,Torbay,CA,47.67,-52.73,51.8,87,5,3.36,clear sky
282,Egvekinot,RU,66.32,-179.17,57.6,52,86,7.43,overcast clouds
283,Codrington,AU,-38.27,141.97,56.07,79,0,8.5,clear sky
284,Sao Joao Da Barra,BR,-21.64,-41.05,74.35,85,0,20.0,clear sky
285,Christchurch,NZ,-43.53,172.63,51.8,57,0,2.24,clear sky
286,Imbituba,BR,-28.24,-48.67,62.6,88,20,3.36,few clouds
287,Coahuayana,MX,18.73,-103.68,80.6,83,75,11.41,broken clouds
288,Eganville,CA,45.53,-77.1,75.2,60,1,6.55,clear sky
289,Podor,MR,16.65,-14.96,80.6,74,99,2.24,overcast clouds
290,Port Lincoln,AU,-34.73,135.87,54.7,69,47,5.77,scattered clouds
291,Mudon,MM,16.26,97.72,76.66,91,92,6.06,overcast clouds
292,Panubigan,PH,7.43,123.35,82.47,75,69,3.74,light rain
293,Goiatuba,BR,-18.01,-49.35,73.83,33,0,3.31,clear sky
294,Ahipara,NZ,-35.17,173.17,57.18,59,100,5.73,overcast clouds
295,Iberia,US,29.95,-91.75,91.4,66,1,5.82,clear sky
296,La Ronge,CA,55.1,-105.28,64.4,55,75,19.46,broken clouds
297,Preston,GB,53.77,-2.72,62.01,86,100,7.56,light rain
298,Imeni Stepana Razina,RU,54.89,44.3,45.52,86,1,7.49,clear sky
299,Soyo,AO,-6.13,12.37,71.55,88,72,5.55,broken clouds
300,Mao,ES,39.89,4.27,77.0,83,0,6.93,clear sky
301,San Estanislao,CO,10.4,-75.15,84.2,79,40,3.36,scattered clouds
302,Puqi,CN,29.72,113.88,89.38,66,0,5.84,clear sky
303,Caravelas,BR,-17.71,-39.25,72.75,89,84,5.35,broken clouds
304,Kloulklubed,PW,7.04,134.26,82.4,83,75,8.05,broken clouds
305,Tura,IN,25.52,90.22,76.48,91,83,6.02,broken clouds
306,Vila Velha,BR,-20.33,-40.29,78.01,88,2,6.93,clear sky
307,Dakar,SN,14.69,-17.44,78.8,94,75,4.7,broken clouds
308,Inhambane,MZ,-23.86,35.38,66.2,88,40,2.24,scattered clouds
309,Vakhrushev,RU,48.98,142.97,55.22,94,100,9.66,light rain
310,Coquimbo,CL,-29.95,-71.34,51.8,87,0,3.36,clear sky
311,Puerto Montt,CL,-41.47,-72.94,44.6,81,90,10.29,overcast clouds
312,Margate,GB,51.38,1.39,70.0,95,100,4.32,overcast clouds
313,Geelong,AU,-38.15,144.36,55.4,100,75,13.87,broken clouds
314,Broome,US,42.25,-75.83,71.6,60,90,3.36,overcast clouds
315,Provideniya,RU,64.38,-173.3,57.76,55,8,9.42,clear sky
316,Netrakona,BD,24.88,90.72,79.27,88,93,13.04,overcast clouds
317,Biloela,AU,-24.42,150.5,67.19,36,0,12.08,clear sky
318,Chabahar,IR,25.29,60.64,84.2,39,100,6.6,overcast clouds
319,Richards Bay,ZA,-28.78,32.04,65.19,71,12,12.97,few clouds
320,San Quintin,MX,30.48,-115.95,77.52,61,0,9.19,clear sky
321,Mega,ET,4.05,38.3,55.33,86,100,16.15,overcast clouds
322,Massaguet,TD,12.48,15.44,80.6,78,40,6.93,scattered clouds
323,Chadan,RU,51.28,91.58,59.92,73,100,1.68,overcast clouds
324,Palmer,US,42.16,-72.33,69.8,68,75,6.93,broken clouds
325,Kalabo,ZM,-14.97,22.68,56.7,35,0,4.29,clear sky
326,Narsaq,GL,60.92,-46.05,48.2,61,86,10.29,overcast clouds
327,Dunedin,NZ,-45.87,170.5,48.99,71,62,5.01,broken clouds
328,Ust-Ishim,RU,57.69,71.17,48.94,92,100,3.67,overcast clouds
329,Pangody,RU,65.85,74.49,47.23,92,100,14.2,overcast clouds
330,Opuwo,NA,-18.06,13.84,53.46,54,0,3.71,clear sky
331,Kantang,TH,7.41,99.52,75.2,100,40,2.06,mist
332,Tingo Maria,PE,-9.29,-76.01,70.2,83,27,2.24,moderate rain
333,Kirksville,US,40.19,-92.58,78.8,47,1,9.17,clear sky
334,Solnechnyy,RU,50.72,136.63,58.1,94,100,3.18,light rain
335,Arenapolis,BR,-14.45,-56.85,81.03,28,15,5.06,few clouds
336,Nizhniy Kuranakh,RU,58.84,125.49,56.55,53,96,6.17,overcast clouds
337,Farmington,US,36.73,-108.22,96.8,5,1,18.34,clear sky
338,Chimbote,PE,-9.09,-78.58,59.56,87,46,5.64,scattered clouds
339,Novikovo,RU,51.15,37.89,52.84,77,44,5.17,scattered clouds
340,Anadyr,RU,64.75,177.48,60.8,55,0,11.18,clear sky
341,Bairiki,KI,1.33,172.98,81.57,68,1,10.33,clear sky
342,Saint Anthony,US,45.02,-93.22,75.2,56,1,4.7,clear sky
343,Ratnagiri,IN,16.98,73.3,79.7,86,100,16.24,moderate rain
344,Anuling,PH,6.04,121.01,85.01,68,0,2.98,clear sky
345,Kozhva,RU,65.11,57.05,52.47,65,100,6.29,overcast clouds
346,Elko,US,41.0,-115.5,97.0,6,69,7.0,broken clouds
347,Kabo,CF,7.7,18.63,72.75,95,100,3.33,moderate rain
348,Itaituba,BR,-4.28,-55.98,81.64,49,58,1.43,broken clouds
349,Namatanai,PG,-3.67,152.43,84.13,70,81,3.58,light rain
350,Poplar Bluff,US,36.76,-90.39,86.0,66,1,3.36,clear sky
351,Kahului,US,20.89,-156.47,91.4,46,40,24.16,scattered clouds
352,Grindavik,IS,63.84,-22.43,51.8,100,90,13.87,light intensity drizzle
353,Muli,MV,2.92,73.57,82.98,66,100,1.45,overcast clouds
354,Poum,NC,-20.23,164.02,72.41,87,100,18.92,moderate rain
355,Necochea,AR,-38.55,-58.74,39.0,70,0,8.01,clear sky
356,Haines Junction,CA,60.75,-137.51,52.0,84,100,3.83,light rain
357,Atambua,ID,-9.11,124.89,84.31,38,1,0.92,clear sky
358,San Carlos De Bariloche,AR,-41.15,-71.31,35.6,69,40,23.04,scattered clouds
359,Birjand,IR,32.87,59.22,69.8,19,0,6.93,clear sky
360,Marabba,SD,12.35,32.18,76.5,85,99,7.87,overcast clouds
361,Quilmana,PE,-12.95,-76.38,60.19,66,89,2.73,overcast clouds
362,Lazaro Cardenas,MX,17.96,-102.2,83.1,82,13,1.7,few clouds
363,Mitsamiouli,KM,-11.38,43.28,76.59,75,16,5.21,few clouds
364,Monroe,US,43.15,-77.68,77.0,69,75,8.05,broken clouds
365,Moussoro,TD,13.64,16.49,82.62,63,84,11.21,broken clouds
366,Santa Elena,EC,-2.23,-80.85,68.0,88,75,6.93,broken clouds
