City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,Jiuquan,39.74,98.52,68.29,34,73,8.03,CN,2020-08-15 23:38:27
101,Sungairaya,0.7,108.9,77.97,84,100,4.56,ID,2020-08-15 23:38:28
102,Gravdal,68.12,13.5,50.92,67,93,27.27,NO,2020-08-15 23:38:28
103,Ponta Delgada,37.73,-25.67,73.4,83,40,10.29,PT,2020-08-15 23:38:28
104,Thompson,55.74,-97.86,57.2,87,75,9.17,CA,2020-08-15 23:38:28
105,La Union,-5.4,-80.75,66.27,71,98,17.0,PE,2020-08-15 23:38:28
106,Sola,-13.88,167.55,78.8,94,90,20.69,VU,2020-08-15 23:38:28
107,Tuktoyaktuk,69.45,-133.04,51.8,62,90,2.24,CA,2020-08-15 23:38:28
108,Castro,-24.79,-50.01,58.39,95,99,2.68,BR,2020-08-15 23:38:28
109,Yasnyy,51.03,59.87,57.02,65,60,5.26,RU,2020-08-15 23:38:28
110,Turukhansk,65.82,87.98,60.51,52,64,13.67,RU,2020-08-15 23:36:20
111,Tiksi,71.69,128.87,42.58,80,92,3.33,RU,2020-08-15 23:38:28
112,Torbay,47.67,-52.73,53.01,81,5,4.7,CA,2020-08-15 23:38:28
113,Tuatapere,-46.13,167.68,52.0,72,5,1.99,NZ,2020-08-15 23:38:28
114,Bairiki,1.33,172.98,86.0,70,20,8.05,KI,2020-08-15 23:38:00
115,Mersing,2.43,103.84,75.2,94,9,5.82,MY,2020-08-15 23:38:29
116,Hasaki,35.73,140.83,87.01,94,75,9.17,JP,2020-08-15 23:38:29
117,Geraldton,-28.77,114.6,59.0,72,40,20.8,AU,2020-08-15 23:38:29
118,Wanlaweyn,2.62,44.89,74.03,73,76,12.48,SO,2020-08-15 23:38:29
119,Cidreira,-30.18,-50.21,59.43,91,3,6.4,BR,2020-08-15 23:38:29
120,Beringovskiy,63.05,179.32,59.4,65,62,12.17,RU,2020-08-15 23:38:29
121,Marienburg,54.04,19.03,64.99,100,28,3.83,PL,2020-08-15 23:38:29
122,Barrow,71.29,-156.79,39.2,100,90,6.93,US,2020-08-15 23:38:29
123,Raudeberg,61.99,5.14,57.99,94,18,8.52,NO,2020-08-15 23:38:29
124,Sao Jose Da Coroa Grande,-8.9,-35.15,73.96,86,60,4.76,BR,2020-08-15 23:38:29
125,Churapcha,62.0,132.43,59.18,38,9,2.84,RU,2020-08-15 23:38:29
126,Qaanaaq,77.48,-69.36,40.23,73,2,2.95,GL,2020-08-15 23:38:29
127,Thabazimbi,-24.59,27.41,51.01,52,0,4.68,ZA,2020-08-15 23:38:29
128,Umm Kaddadah,13.6,26.69,77.5,75,100,15.75,SD,2020-08-15 23:38:29
129,Buckeye,33.37,-112.58,114.01,17,20,14.99,US,2020-08-15 23:38:29
130,Souillac,-20.52,57.52,69.8,77,40,18.34,MU,2020-08-15 23:38:30
131,La Ronge,55.1,-105.28,64.4,55,75,16.11,CA,2020-08-15 23:38:30
132,Bethel,41.37,-73.41,73.4,60,1,10.29,US,2020-08-15 23:38:30
133,Dikson,73.51,80.55,43.12,87,32,4.68,RU,2020-08-15 23:38:30
134,Bluff,-46.6,168.33,52.0,72,27,1.99,NZ,2020-08-15 23:38:30
135,Airai,-8.93,125.41,70.41,43,16,3.62,TL,2020-08-15 23:38:30
136,Luwuk,-0.95,122.79,80.73,66,79,6.38,ID,2020-08-15 23:38:30
137,Pevek,69.7,170.31,42.1,77,0,6.44,RU,2020-08-15 23:38:30
138,Vardo,70.37,31.11,48.06,78,100,12.86,NO,2020-08-15 23:38:30
139,Alvaraes,-3.22,-64.8,86.0,62,55,1.19,BR,2020-08-15 23:38:30
140,Gornopravdinsk,60.05,69.9,47.01,86,90,2.75,RU,2020-08-15 23:38:30
141,Saint-Philippe,-21.36,55.77,66.2,59,54,8.05,RE,2020-08-15 23:38:30
142,Khatanga,71.97,102.5,57.36,55,0,5.95,RU,2020-08-15 23:38:31
143,San Pedro,14.35,121.02,80.01,88,95,3.36,PH,2020-08-15 23:38:31
144,Namibe,-15.2,12.15,60.08,88,52,6.11,AO,2020-08-15 23:38:31
145,Hay River,60.82,-115.8,60.8,63,40,5.82,CA,2020-08-15 23:38:31
146,Bara,10.37,10.73,73.56,90,91,4.99,NG,2020-08-15 23:38:31
147,Bambous Virieux,-20.34,57.76,71.01,77,40,18.34,MU,2020-08-15 23:38:31
148,Itarema,-2.92,-39.92,78.1,77,87,16.44,BR,2020-08-15 23:38:03
149,Touros,-5.2,-35.46,73.4,94,20,3.36,BR,2020-08-15 23:38:31
150,Petropavlovsk-Kamchatskiy,53.05,158.65,59.0,93,40,6.71,RU,2020-08-15 23:38:31
151,Alice Springs,-23.7,133.88,51.8,30,0,1.12,AU,2020-08-15 23:34:41
152,Westport,41.14,-73.36,75.2,60,1,13.87,US,2020-08-15 23:38:31
153,Gisors,49.28,1.78,66.2,88,51,4.7,FR,2020-08-15 23:38:31
154,Prescott,34.54,-112.47,100.4,8,1,16.11,US,2020-08-15 23:34:35
155,Luderitz,-26.65,15.16,56.28,72,0,20.6,NA,2020-08-15 23:38:31
156,Carutapera,-1.2,-46.02,77.54,81,73,7.45,BR,2020-08-15 23:37:55
157,Marystown,47.17,-55.15,56.35,73,23,5.73,CA,2020-08-15 23:38:09
158,Sur,22.57,59.53,87.3,58,66,10.42,OM,2020-08-15 23:38:32
159,Chadiza,-14.07,32.44,58.48,57,0,2.71,ZM,2020-08-15 23:38:32
160,Port Hardy,50.7,-127.42,71.6,68,40,4.7,CA,2020-08-15 23:38:32
161,Rawson,-43.3,-65.1,47.39,51,11,24.0,AR,2020-08-15 23:38:32
162,Roma,43.21,-75.46,78.8,47,90,5.82,US,2020-08-15 23:36:04
163,Salalah,17.02,54.09,77.0,100,90,9.17,OM,2020-08-15 23:38:32
164,Sitka,57.05,-135.33,57.2,87,90,4.12,US,2020-08-15 23:38:32
165,Ilinskiy,55.62,38.12,53.6,93,3,2.24,RU,2020-08-15 23:38:32
166,Vila Velha,-20.33,-40.29,77.0,83,20,12.75,BR,2020-08-15 23:37:38
167,Lorengau,-2.02,147.27,84.85,66,73,5.46,PG,2020-08-15 23:38:32
168,Mogadishu,2.04,45.34,75.34,79,87,14.56,SO,2020-08-15 23:38:32
169,Poltavka,54.37,71.76,57.09,63,57,9.31,RU,2020-08-15 23:38:32
170,Viedma,-40.81,-63.0,42.01,46,0,1.99,AR,2020-08-15 23:38:32
171,Suntar,62.14,117.63,47.95,61,29,5.48,RU,2020-08-15 23:38:33
172,Dalvik,65.97,-18.53,46.4,93,83,4.7,IS,2020-08-15 23:38:33
173,Nikolskoye,59.7,30.79,62.01,93,79,2.24,RU,2020-08-15 23:38:33
174,Asmar,35.03,71.36,78.22,68,62,1.79,AF,2020-08-15 23:38:33
175,Sanchor,24.76,71.77,81.72,88,100,8.14,IN,2020-08-15 23:38:33
176,Coquimbo,-29.95,-71.34,51.8,81,0,5.82,CL,2020-08-15 23:38:33
177,Minbu,20.18,94.88,75.63,92,100,13.73,MM,2020-08-15 23:38:33
178,Meulaboh,4.14,96.13,76.73,89,80,5.57,ID,2020-08-15 23:38:33
179,Lobva,59.19,60.52,48.87,80,94,6.51,RU,2020-08-15 23:38:33
180,Lujan,-34.57,-59.1,53.01,35,0,1.01,AR,2020-08-15 23:38:33
181,Te Anau,-45.42,167.72,42.55,74,62,0.43,NZ,2020-08-15 23:38:33
182,Hervey Bay,-25.3,152.85,66.0,62,0,5.99,AU,2020-08-15 23:38:33
183,Aklavik,68.22,-135.01,51.8,87,90,6.93,CA,2020-08-15 23:38:33
184,Kapuskasing,49.42,-82.43,77.0,61,90,16.11,CA,2020-08-15 23:38:34
185,Mehamn,71.04,27.85,47.84,74,65,24.87,NO,2020-08-15 23:38:34
186,Nouadhibou,20.93,-17.03,73.06,81,1,21.3,MR,2020-08-15 23:38:34
187,Nanortalik,60.14,-45.24,42.66,79,46,9.57,GL,2020-08-15 23:38:34
188,Guadalupe Victoria,32.29,-115.11,116.01,26,5,6.93,MX,2020-08-15 23:38:34
189,Jiangyou,31.77,104.72,73.49,92,100,11.5,CN,2020-08-15 23:38:34
190,Port Elizabeth,-33.92,25.57,50.0,71,20,14.99,ZA,2020-08-15 23:38:34
191,Leningradskiy,69.38,178.42,49.1,67,71,12.1,RU,2020-08-15 23:38:34
192,Carnarvon,-24.87,113.63,65.7,67,23,16.11,AU,2020-08-15 23:38:34
193,Benavente,42.0,-5.68,55.4,66,10,10.29,ES,2020-08-15 23:38:34
194,Victoria,22.29,114.16,82.99,83,40,10.29,HK,2020-08-15 23:38:34
195,Sarab,38.61,44.99,64.76,60,36,2.33,IR,2020-08-15 23:38:34
196,Iqaluit,63.75,-68.51,44.6,93,90,10.29,CA,2020-08-15 23:36:48
197,Vancouver,49.25,-123.12,82.99,60,5,9.17,CA,2020-08-15 23:34:49
198,Cockburn Town,21.46,-71.14,84.2,74,40,11.41,TC,2020-08-15 23:35:10
199,Abeche,13.83,20.83,77.38,76,80,5.64,TD,2020-08-15 23:38:35
200,Iquique,-20.22,-70.14,60.8,63,75,11.41,CL,2020-08-15 23:38:35
201,Esperance,-33.87,121.9,55.4,93,90,17.22,AU,2020-08-15 23:37:07
202,Isangel,-19.55,169.27,73.4,64,98,10.29,VU,2020-08-15 23:34:04
203,Buritizeiro,-17.35,-44.96,71.37,41,0,0.72,BR,2020-08-15 23:38:35
204,Port Keats,-14.25,129.55,80.31,63,0,1.48,AU,2020-08-15 23:38:35
205,Samarai,-10.62,150.67,77.11,72,76,10.22,PG,2020-08-15 23:38:35
206,Bireun,5.2,96.7,77.56,81,2,4.25,ID,2020-08-15 23:38:35
207,Portland,45.52,-122.68,100.0,26,20,10.29,US,2020-08-15 23:34:29
208,Wyndham,37.7,-77.61,73.0,96,98,7.61,US,2020-08-15 23:38:35
209,Tocopilla,-22.09,-70.2,57.88,65,21,8.23,CL,2020-08-15 23:38:35
210,Zhuanghe,39.7,122.99,77.0,93,100,11.45,CN,2020-08-15 23:38:35
211,Makakilo City,21.35,-158.09,89.6,49,75,5.82,US,2020-08-15 23:35:32
212,Lagoa,39.05,-27.98,73.38,89,0,21.32,PT,2020-08-15 23:38:35
213,Nagaur,27.2,73.73,81.79,81,20,13.33,IN,2020-08-15 23:38:35
214,Ugoofaaru,5.67,73.0,81.77,75,100,3.53,MV,2020-08-15 23:38:35
215,Los Llanos De Aridane,28.66,-17.92,73.4,78,12,17.22,ES,2020-08-15 23:38:35
216,Hovd,48.01,91.64,52.92,73,100,9.64,MN,2020-08-15 23:38:36
217,Yulara,-25.24,130.99,60.44,36,0,10.92,AU,2020-08-15 23:38:36
218,Karratha,-20.74,116.85,70.25,64,7,1.83,AU,2020-08-15 23:38:36
219,Riviere-Du-Loup,47.83,-69.53,56.73,80,2,5.97,CA,2020-08-15 23:35:38
220,Vermillion,42.78,-96.93,84.2,37,1,11.41,US,2020-08-15 23:38:36
221,Zalantun,48.0,122.72,67.3,73,7,4.36,CN,2020-08-15 23:38:36
222,Fortuna,40.6,-124.16,91.0,22,0,5.01,US,2020-08-15 23:38:36
223,Nisia Floresta,-6.09,-35.21,75.2,94,20,3.36,BR,2020-08-15 23:38:36
224,Pauini,-7.71,-66.98,84.38,50,58,2.01,BR,2020-08-15 23:38:36
225,Suining,30.51,105.57,78.84,83,99,8.3,CN,2020-08-15 23:38:36
226,Ambon,-3.7,128.18,77.0,94,40,6.93,ID,2020-08-15 23:38:05
227,Akyab,20.15,92.9,81.23,84,100,15.64,MM,2020-08-15 23:38:36
228,Cabedelo,-6.98,-34.83,73.4,94,76,4.7,BR,2020-08-15 23:37:39
229,Tabas,33.6,56.92,91.4,16,0,4.7,IR,2020-08-15 23:38:37
230,Tasiilaq,65.61,-37.64,42.8,81,100,25.28,GL,2020-08-15 23:38:37
231,Coffs Harbour,-30.3,153.13,66.0,55,0,5.82,AU,2020-08-15 23:38:37
232,Bubaque,11.28,-15.83,78.35,90,100,5.59,GW,2020-08-15 23:38:37
233,Ilanskiy,56.24,96.06,57.81,84,13,8.97,RU,2020-08-15 23:38:37
234,Paracuru,-3.41,-39.03,79.0,74,96,20.0,BR,2020-08-15 23:38:37
235,Punto Fijo,11.7,-70.2,81.93,80,92,21.77,VE,2020-08-15 23:38:37
236,Kavieng,-2.57,150.8,84.49,66,39,4.63,PG,2020-08-15 23:38:37
237,Piacabucu,-10.41,-36.43,73.36,88,1,6.67,BR,2020-08-15 23:38:37
238,Zhangye,38.93,100.45,68.5,44,100,8.43,CN,2020-08-15 23:38:37
239,Bonthe,7.53,-12.51,74.43,96,100,4.34,SL,2020-08-15 23:38:37
240,Birao,10.28,22.79,72.01,96,100,3.09,CF,2020-08-15 23:38:37
241,Sao Filipe,14.9,-24.5,78.49,83,27,6.13,CV,2020-08-15 23:38:37
242,Flinders,-34.58,150.86,57.99,70,100,7.0,AU,2020-08-15 23:38:37
243,Tura,25.52,90.22,75.09,93,97,4.21,IN,2020-08-15 23:38:38
244,Durgapur,23.48,87.32,80.35,88,98,10.13,IN,2020-08-15 23:38:38
245,Palu,-0.89,119.87,79.5,73,81,2.66,ID,2020-08-15 23:38:38
246,Ratnagiri,16.98,73.3,79.36,85,99,14.97,IN,2020-08-15 23:38:38
247,Dudinka,69.41,86.18,60.8,63,100,11.18,RU,2020-08-15 23:38:38
248,Key Largo,25.09,-80.45,86.0,1,4,1.01,US,2020-08-15 23:38:38
249,Muriwai Beach,-36.82,174.45,57.0,69,0,1.01,NZ,2020-08-15 23:38:38
250,Tygda,53.12,126.33,55.87,91,100,10.51,RU,2020-08-15 23:38:38
251,Ust-Kuyga,70.02,135.6,38.44,76,100,4.56,RU,2020-08-15 23:38:38
252,Guantanamo,20.14,-75.21,87.8,66,75,11.41,CU,2020-08-15 23:38:38
253,Andenes,69.31,16.12,48.2,76,97,31.09,NO,2020-08-15 23:38:38
254,East London,-33.02,27.91,53.4,64,99,20.58,ZA,2020-08-15 23:38:38
255,Oostburg,43.62,-87.79,75.2,69,90,10.36,US,2020-08-15 23:38:38
256,Shelburne,44.08,-80.2,78.8,57,1,6.93,CA,2020-08-15 23:37:42
257,Bay Roberts,47.6,-53.26,52.0,81,5,4.7,CA,2020-08-15 23:38:39
258,Erenhot,43.65,111.98,76.15,50,52,11.43,CN,2020-08-15 23:38:39
259,Guerrero Negro,27.98,-114.06,86.05,40,0,14.94,MX,2020-08-15 23:36:16
260,Nemuro,43.32,145.57,62.64,95,96,2.8,JP,2020-08-15 23:38:39
261,Tazmalt,36.39,4.4,78.8,88,20,5.82,DZ,2020-08-15 23:38:39
262,Saskylakh,71.92,114.08,53.24,55,7,8.46,RU,2020-08-15 23:38:39
263,Gravelbourg,49.88,-106.55,76.66,34,46,13.65,CA,2020-08-15 23:38:39
264,Adrar,20.5,-10.07,101.43,16,15,8.9,MR,2020-08-15 23:38:39
265,Faya,18.39,42.45,69.8,82,78,4.7,SA,2020-08-15 23:38:39
266,Guaymas,27.93,-110.9,100.99,53,5,14.99,MX,2020-08-15 23:38:39
267,Beira,-19.84,34.84,63.63,87,0,7.56,MZ,2020-08-15 23:38:39
268,Fuengirola,36.54,-4.62,82.4,30,43,13.87,ES,2020-08-15 23:38:39
269,Mokrousovo,55.81,66.77,55.56,78,100,9.37,RU,2020-08-15 23:38:39
270,West Wendover,40.74,-114.07,96.8,11,1,10.29,US,2020-08-15 23:38:40
271,Moerai,-22.43,-151.33,74.37,86,54,12.24,PF,2020-08-15 23:38:40
272,Bengkulu,-3.8,102.27,75.85,88,93,4.09,ID,2020-08-15 23:38:40
273,Haimen,23.19,116.61,82.4,83,90,6.71,CN,2020-08-15 23:38:40
274,Longyearbyen,78.22,15.64,42.8,75,75,2.24,SJ,2020-08-15 23:38:40
275,Cradock,-32.16,25.62,42.04,79,71,6.8,ZA,2020-08-15 23:38:40
276,Deputatskiy,69.3,139.9,34.79,86,98,9.95,RU,2020-08-15 23:38:40
277,Elizabeth City,36.29,-76.25,75.2,100,90,8.05,US,2020-08-15 23:38:40
278,Sao Francisco Do Sul,-26.24,-48.64,69.8,73,100,3.36,BR,2020-08-15 23:35:38
279,Egvekinot,66.32,-179.17,57.16,53,95,7.05,RU,2020-08-15 23:38:40
280,Ifanadiana,-21.3,47.63,54.73,90,1,2.73,MG,2020-08-15 23:38:40
281,Altamont,42.21,-121.74,98.6,14,1,13.87,US,2020-08-15 23:38:40
282,Kavaratti,10.57,72.64,82.29,78,100,13.44,IN,2020-08-15 23:38:40
283,Jurado,7.11,-77.76,78.35,86,100,5.19,CO,2020-08-15 23:38:40
284,Mount Gambier,-37.83,140.77,48.2,100,75,3.36,AU,2020-08-15 23:38:41
285,Sechura,-5.56,-80.82,64.65,76,94,15.95,PE,2020-08-15 23:38:41
286,Richards Bay,-28.78,32.04,65.57,70,15,13.35,ZA,2020-08-15 23:38:41
287,Saldanha,-33.01,17.94,46.4,87,29,2.24,ZA,2020-08-15 23:38:41
288,Leh,34.17,77.58,61.54,40,2,3.2,IN,2020-08-15 23:38:41
289,Khor,47.89,134.95,67.53,88,36,14.72,RU,2020-08-15 23:38:41
290,Upington,-28.45,21.26,51.8,71,40,12.75,ZA,2020-08-15 23:38:41
291,Yerofey Pavlovich,53.97,121.97,55.54,83,98,2.77,RU,2020-08-15 23:38:41
292,Wanning,18.8,110.4,83.07,79,45,6.91,CN,2020-08-15 23:37:55
293,Wlodawa,51.55,23.55,53.01,78,0,4.92,PL,2020-08-15 23:38:41
294,Hambantota,6.12,81.12,78.4,85,97,15.39,LK,2020-08-15 23:38:41
295,Yellowknife,62.46,-114.35,60.01,54,75,10.29,CA,2020-08-15 23:38:41
296,Yazman,29.12,71.74,94.87,47,19,9.06,PK,2020-08-15 23:38:41
297,Honiara,-9.43,159.95,87.8,66,20,2.55,SB,2020-08-15 23:38:41
298,Teya,60.38,92.63,56.39,50,100,4.61,RU,2020-08-15 23:38:08
299,Hobyo,5.35,48.53,76.03,77,65,23.17,SO,2020-08-15 23:38:41
300,Wundanyi,-3.4,38.36,54.21,100,77,5.64,KE,2020-08-15 23:38:41
301,Chapais,49.78,-74.85,75.2,47,1,9.17,CA,2020-08-15 23:38:42
302,Asau,46.43,26.4,60.01,98,100,2.8,RO,2020-08-15 23:37:54
303,Caucaia,-3.74,-38.65,79.0,74,92,12.75,BR,2020-08-15 23:38:42
304,Qui Nhon,13.77,109.23,80.46,77,100,4.16,VN,2020-08-15 23:34:30
305,Maceio,-9.67,-35.74,71.6,94,11,2.24,BR,2020-08-15 23:38:42
